DR Number,Date Reported,Date Occurred,Time Occurred,Area ID,Area Name,Reporting District,Crime Code,Crime Code Description,MO Codes,Victim Age,Victim Sex,Victim Descent,Premise Code,Premise Description,Weapon Used Code,Weapon Description,Status Code,Status Description,Crime Code 1,Crime Code 2,Crime Code 3,Crime Code 4,Address,Cross Street,Location 
160101129,08/01/2016,08/01/2016,1310,01,Central,0147,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0416 1402 1218 0319 0342 0445,53,M,B,101,STREET,312,PIPE/METAL PIPE,AO,Adult Other,230,998,,,SAN PEDRO,WINSTON,"(34.0442, -118.2439)"
160120276,08/02/2016,08/01/2016,2215,01,Central,0157,210,ROBBERY,0305 0344 0445 1218 0342 0429,69,M,B,101,STREET,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,210,,,,6TH                          ST,CROCKER,"(34.0417, -118.2443)"
160318173,08/02/2016,08/01/2016,1500,03,Southwest,0375,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 1814 0416 1309 1218 1414,30,F,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,626,,,,1800 W  MARTIN LUTHER KING JR        BL,,"(34.0146, -118.313)"
160120325,08/02/2016,08/02/2016,1950,01,Central,0156,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",2004 1402 0416 1218 0445 1822,49,M,B,517,,312,PIPE/METAL PIPE,AO,Adult Other,230,998,,,500 S  SAN PEDRO                    ST,,"(34.0437, -118.2455)"
160120328,08/02/2016,08/02/2016,0300,01,Central,0129,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD0036",1300 0344 1218,47,F,W,221,PUBLIC STORAGE,,,IC,Invest Cont,341,,,,800 E  COMMERCIAL                   ST,,"(34.0527, -118.2314)"
160120339,08/02/2016,08/02/2016,1700,01,Central,0166,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1218 0416 0445,28,M,H,102,SIDEWALK,309,BOARD,IC,Invest Cont,230,,,,600 S  SAN PEDRO                    ST,,"(34.0421, -118.2469)"
160120355,08/02/2016,08/02/2016,2115,01,Central,0156,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 0416 1218 2004,44,F,B,102,SIDEWALK,,,AO,Adult Other,626,,,,6TH                          ST,WALL                         ST,"(34.0428, -118.2461)"
160120363,08/03/2016,08/02/2016,2130,01,Central,0112,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,1218 2004 0421,44,M,W,101,STREET,,,IC,Invest Cont,930,,,,MAIN                         ST,ARCADIA,"(34.057, -118.2437)"
160200815,08/03/2016,08/02/2016,2335,02,Rampart,0265,210,ROBBERY,1402 0908 0334 1218 0304 0337,21,M,H,109,PARK/PLAYGROUND,204,FOLDING KNIFE,AA,Adult Arrest,210,998,,,800 S  BONNIE BRAE                  ST,,"(34.0547, -118.2772)"
160318240,08/02/2016,08/02/2016,1530,03,Southwest,0399,626,INTIMATE PARTNER - SIMPLE ASSAULT,1218 2000 1813 1814 0356 0329,59,F,B,101,STREET,,,IC,Invest Cont,626,,,,42ND                         ST,FIGUEROA                     ST,"(34.0074, -118.2827)"
160914757,08/02/2016,08/02/2016,1320,09,Van Nuys,0985,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0344 1218 1414 1420,27,M,H,402,MARKET,,,AA,Adult Arrest,442,,,,4500    VAN NUYS                     BL,,"(34.153, -118.4487)"
160121166,08/14/2016,08/03/2016,1200,01,Central,0156,440,THEFT PLAIN - PETTY ($950 & UNDER),0344 1218,46,F,B,101,STREET,,,IC,Invest Cont,440,,,,5TH,WALL,"(34.0449, -118.2458)"
160126673,11/04/2016,08/03/2016,1500,01,Central,0157,330,BURGLARY FROM VEHICLE,1607 0344 1218,52,F,B,101,STREET,,,IC,Invest Cont,330,,,,500    CROCKER                      ST,,"(34.0435, -118.2427)"
160214970,08/04/2016,08/03/2016,2140,02,Rampart,0245,624,BATTERY - SIMPLE ASSAULT,0416 2004 1218,39,M,W,109,PARK/PLAYGROUND,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,ALVARADO                     ST,77TH                         ST,"(34.061, -118.2775)"
160214984,08/04/2016,08/03/2016,2210,02,Rampart,0245,624,BATTERY - SIMPLE ASSAULT,0400 0444 0429 1218,40,F,W,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,624,,,,ALVARADO,WILSHIRE,"(34.0573, -118.2763)"
160413265,08/03/2016,08/03/2016,0240,04,Hollenbeck,0497,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0411 1218 0416,46,M,H,103,ALLEY,207,OTHER KNIFE,IC,Invest Cont,230,,,,OLYMPIC                      BL,SOTO,"(34.0234, -118.2177)"
160813968,08/03/2016,08/03/2016,2050,08,West LA,0835,210,ROBBERY,0344 0346 1822 1218 1206,62,M,W,102,SIDEWALK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,210,,,,SANTA MONICA,GREENFIELD                   AV,"(34.0487, -118.4413)"
161013613,08/03/2016,08/03/2016,2330,10,West Valley,1011,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 0400 0416 0429 1218 1814 1813,25,F,H,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,626,,,,SATICOY                      ST,CORBIN                       AV,"(34.2084, -118.5623)"
161515900,08/03/2016,08/03/2016,1200,15,N Hollywood,1547,210,ROBBERY,0416 0355 1218 2004 0913 1402 0344,57,M,B,109,PARK/PLAYGROUND,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,210,998,,,TUJUNGA                      AV,MAGNOLIA                     BL,"(34.1649, -118.379)"
