STATE_FIPS,CNTY_FIPS,STCOFIPS,Tract,FIPS,SQMI,Jurisdiction,Year,Opt In,Counted,Opt In Name,City,Community Name,Community Type,Region ID,Region Name,Region,Alias,Street Singles,Street Family,Street_UYouth,Cars,Vans,Campers,Tents,Encampments,Units,Car People,VanPeople,Camper People,Tent People,Encamp People,YouthCount15,YouthCount13,ES_Single,ES_Family,ES_UYouth,TH_Singles,TH_Family,TH_UYouth,Street Count,Unsheltered,ES_People,TH_People,Sheltered,Individual,Family Members,Unaccompanied,2015_Total,2015Total_woYouth
6,37,6037,101110,6037101110,0.44,Sunland-Tujunga NC,2015,Yes,Yes,Sunland-Tujunga NC,Los Angeles,Sunland-Tujunga,Community,SPA 2,Service Planning Area 2,San Fernando Valley,SPA 2-San Fernando Valley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,37,6037,101120,6037101120,4.98,Sunland-Tujunga NC,2015,Yes,Yes,Sunland-Tujunga NC,Los Angeles,Sunland-Tujunga,Community,SPA 2,Service Planning Area 2,San Fernando Valley,SPA 2-San Fernando Valley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,37,6037,101210,6037101210,0.25,Sunland-Tujunga NC,2015,Yes,Yes,Sunland-Tujunga NC,Los Angeles,Sunland-Tujunga,Community,SPA 2,Service Planning Area 2,San Fernando Valley,SPA 2-San Fernando Valley,6,0,0,0,0,2,1,3,6,0,0,4,2,6,0,0,0,0,0,0,0,0,18,18,0,0,0,18,0,0,18,18
6,37,6037,101220,6037101220,0.27,Sunland-Tujunga NC,2015,Yes,Yes,Sunland-Tujunga NC,Los Angeles,Sunland-Tujunga,Community,SPA 2,Service Planning Area 2,San Fernando Valley,SPA 2-San Fernando Valley,13,0,0,2,0,5,1,3,11,3,0,9,2,6,0,0,0,0,0,0,0,0,33,33,0,0,0,33,0,0,33,33
6,37,6037,101300,6037101300,0.97,Sunland-Tujunga NC,2015,Yes,Yes,Sunland-Tujunga NC,Los Angeles,Sunland-Tujunga,Community,SPA 2,Service Planning Area 2,San Fernando Valley,SPA 2-San Fernando Valley,28,0,1,7,0,0,0,0,7,10,0,0,0,0,0,0,0,0,0,0,0,0,39,39,0,0,0,38,0,1,39,39
6,37,6037,101400,6037101400,2.33,Sunland-Tujunga NC,2015,Yes,Yes,Sunland-Tujunga NC,Los Angeles,Sunland-Tujunga,Community,SPA 2,Service Planning Area 2,San Fernando Valley,SPA 2-San Fernando Valley,2,0,0,0,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,4,0,0,4,4
6,37,6037,102101,6037102101,7.46,Foothill Trails District NC,2015,Yes,Yes,Foothill Trails District NC,Los Angeles,Foothill Trails,Community,SPA 2,Service Planning Area 2,San Fernando Valley,SPA 2-San Fernando Valley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,37,6037,102102,6037102102,1.49,Sun Valley Area NC,2015,Yes,Yes,Sun Valley Area NC,Los Angeles,Sun Valley,Community,SPA 2,Service Planning Area 2,San Fernando Valley,SPA 2-San Fernando Valley,1,0,0,0,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,3,0,0,3,3
6,37,6037,103101,6037103101,1.59,Sunland-Tujunga NC,2015,Yes,Yes,Sunland-Tujunga NC,Los Angeles,Sunland-Tujunga,Community,SPA 2,Service Planning Area 2,San Fernando Valley,SPA 2-San Fernando Valley,2,0,0,1,0,0,0,6,7,1,0,0,0,12,0,0,0,0,0,0,0,0,15,15,0,0,0,15,0,0,15,15
6,37,6037,103102,6037103102,0.48,Sunland-Tujunga NC,2015,Yes,Yes,Sunland-Tujunga NC,Los Angeles,Sunland-Tujunga,Community,SPA 2,Service Planning Area 2,San Fernando Valley,SPA 2-San Fernando Valley,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,6,0,0,0,1,0,0,6,1
6,37,6037,103200,6037103200,2.77,Foothill Trails District NC,2015,Yes,Yes,Foothill Trails District NC,Los Angeles,Foothill Trails,Community,SPA 2,Service Planning Area 2,San Fernando Valley,SPA 2-San Fernando Valley,31,0,0,9,0,12,0,8,29,13,0,22,0,16,0,0,0,0,0,0,0,0,82,82,0,0,0,82,0,0,82,82
6,37,6037,103300,6037103300,3.64,Sunland-Tujunga NC,2015,Yes,Yes,Sunland-Tujunga NC,Los Angeles,Sunland-Tujunga,Community,SPA 2,Service Planning Area 2,San Fernando Valley,SPA 2-San Fernando Valley,8,0,0,1,0,0,0,3,4,1,0,0,0,6,0,0,0,0,0,0,0,0,15,15,0,0,0,15,0,0,15,15
6,37,6037,103400,6037103400,1.55,Sunland-Tujunga NC,2015,Yes,Yes,Sunland-Tujunga NC,Los Angeles,Sunland-Tujunga,Community,SPA 2,Service Planning Area 2,San Fernando Valley,SPA 2-San Fernando Valley,30,3,0,1,0,3,0,0,4,1,0,5,0,0,0,0,0,0,0,0,0,0,39,39,0,0,0,36,3,0,39,39
6,37,6037,104103,6037104103,0.35,Foothill Trails District NC,2015,Yes,Yes,Foothill Trails District NC,Los Angeles,Foothill Trails,Community,SPA 2,Service Planning Area 2,San Fernando Valley,SPA 2-San Fernando Valley,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,2,0,0,2,2
6,37,6037,104104,6037104104,0.6,Foothill Trails District NC,2015,Yes,Yes,Foothill Trails District NC,Los Angeles,Foothill Trails,Community,SPA 2,Service Planning Area 2,San Fernando Valley,SPA 2-San Fernando Valley,20,3,0,5,0,1,0,10,16,7,0,2,0,19,0,0,0,0,0,0,0,0,51,51,0,0,0,48,3,0,51,51
6,37,6037,104105,6037104105,0.23,Pacoima NC,2015,Yes,Yes,Pacoima NC,Los Angeles,Pacoima,Community,SPA 2,Service Planning Area 2,San Fernando Valley,SPA 2-San Fernando Valley,3,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,9,0,0,4,4,0,9,9,13,0,0,13,13
6,37,6037,104106,6037104106,1.73,Pacoima NC,2015,Yes,Yes,Pacoima NC,Los Angeles,Pacoima,Community,SPA 2,Service Planning Area 2,San Fernando Valley,SPA 2-San Fernando Valley,2,0,0,1,2,1,2,2,8,1,3,2,3,4,0,19,0,0,0,0,0,0,15,15,0,0,0,15,0,0,15,15
6,37,6037,104107,6037104107,1.43,Kagel Canyon,2015,No,No,Kagel Canyon,Unincorporated,Angeles National Forest,Unincorporated,SPA 2,Service Planning Area 2,San Fernando Valley,SPA 2-San Fernando Valley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
