"","tract","Year","City","Community_Name","Detailed_Name","SPA","SD","CD","ca_ssd","ca_sad","totStreetSingAdult","totStreetFamHH","totStreetFamMem","totCars","totVans","totCampers","totTents","totEncamp","totCarPeople","totVanPeople","totCamperPeople","totTentPeople","totEncampPeople","totYouthFamHH","totESAdultSingAdult","totESAdultFamHH","totESAdultFamMem","totESYouthSingYouth","totESYouthFamHH","totESYouthFamMem","totESYouthUnaccYouth","totTHAdultSingAdult","totTHAdultFamHH","totTHAdultFamMem","totTHYouthSingYouth","totTHYouthFamHH","totTHYouthFamMem","totTHYouthUnaccYouth","totSHAdultSingAdult","totSHAdultFamHH","totSHAdultFamMem","totSHYouthSingYouth","totSHYouthFamHH","totSHYouthFamMem","totSHYouthUnaccYouth","totUnsheltPeople","totESPeople","totTHPeople","totSHPeople","totSheltPeople","totPeople"
"1",101110,"2017","Los Angeles","Sunland-Tujunga","Sunland-Tujunga NC",2,5,7,25,39,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
"2",101122,"2017","Los Angeles","Sunland-Tujunga","Sunland-Tujunga NC",2,5,7,25,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",101210,"2017","Los Angeles","Sunland-Tujunga","Sunland-Tujunga NC",2,5,7,25,39,3,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5
"4",101220,"2017","Los Angeles","Sunland-Tujunga","Sunland-Tujunga NC",2,5,7,25,39,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,34
"5",101300,"2017","Los Angeles","Sunland-Tujunga","Sunland-Tujunga NC",2,5,7,25,39,15,0,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,20
"6",101400,"2017","Los Angeles","Sunland-Tujunga","Sunland-Tujunga NC",2,5,7,25,39,0,0,0,0,2,4,0,0,0,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,12
"7",102103,"2017","Los Angeles","Sun Valley","Sun Valley Area NC",2,5,2,25,39,0,0,0,0,1,3,0,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,8
"8",102104,"2017","Los Angeles","Sun Valley","Sun Valley Area NC",2,5,2,25,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9",102105,"2017","Los Angeles","Sun Valley","Sun Valley Area NC",2,5,2,18,39,0,0,0,1,0,3,0,1,2,0,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,10
"10",102107,"2017","Los Angeles","Foothill Trails","Foothill Trails District NC",2,5,7,25,39,1,0,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5
