Row #,LAUID,Year,Proj. Type,Organization Name,Project Name,Geo Code,Census Tract,SPA,SD,CD,SSD,AD,USCD,Community,Inventory Type,Bed Type,Rental Assistance Type,Target Pop. A,Target Pop. B,LAHSA Funded,In HMIS,Veteran Program,Youth Program,Beds HH w/ Children,Units HH w/ Children,Beds HH w/o Children,Beds HH w/ only Children,Veteran Beds HH w/ Children,Veteran Beds HH w/o Children,Youth Beds HH w/ Children,Youth Beds HH w/o Children,CH Beds HH w/ Children,CH Beds HH w/o Children,CH Beds HH w/ only Children,Other Federal Funding?,Other Federal Funding: HUD-VASH,Other Federal Funding: SSVF,Other Federal Funding: GPD,Other Federal Funding: HCHV,Other Federal Funding: CWT/TR,Other Federal Funding: BCP,Other Federal Funding: TLP,Other Federal Funding: MGH,Other Federal Funding: HOPWA,Other Federal Funding: PIH,Housing Type,McKinney- Vento,Year-Round Beds,HMIS Beds HH w/ Children,HMIS Beds HH w/o Children,HMIS Beds HH w/ only Children,% of HMIS Beds HH with Children,% of HMIS Beds HH without Children,% of HMIS Beds HH w/ only Children,Total Seasonal Beds,Seasonal Beds Available in HMIS,Availability Start Date,Availability End Date,Overflow Beds,HMIS Overflow Beds,PIT Count,Total Beds,Bed Utilization Rate,Unit Utilization Rate
296628,045-001025,2017,ES,1736 Family Crisis Center,Crisis and Bridge Housing Individual (1736),,,SPA 8,SD 4,CD15,SSD 35,AD 64,USCD 44,,N,Facility-based beds,Not Applicable,SF,DV,Yes,No,No,No,,,20,,,0,,0,,,,No,,,,,,,,,,,Scattered,Yes,20,,0,,,,,,,,,,,2,20,10%,10%
283051,045-001002,2017,ES,1736 Family Crisis Center,Domestic Violence Shelter-LA 2,,,SPA 6,SD 2,CD10,SSD 24,AD 53,USCD 34,,C,Facility-based beds,Not Applicable,SFHC,DV,No,No,No,No,0,0,1,0,0,0,0,0,,,,No,,,,,,,,,,,Single,No,1,,,,,,,0,0,,,0,0,1,1,100%,100%
283053,045-001022,2017,ES,1736 Family Crisis Center,Emergency Youth Shelter,69037,621004,SPA 8,SD 4,NA ,SSD 26,AD 66,USCD 33,Hermosa Beach,C,Facility-based beds,Not Applicable,YMF,NA,Yes,Yes,No,Yes,,0,0,6,0,0,0,0,,,,Yes,No,No,No,No,No,Yes,No,No,No,No,Single,Yes,6,0,0,6,,,100%,0,0,,,0,0,3,6,50%,50%
283337,045-001023,2017,ES,1736 Family Crisis Center,RHY Basic Center,69037,621004,SPA 8,SD 4,NA ,SSD 26,AD 66,USCD 33,Hermosa Beach,C,Facility-based beds,Not Applicable,YMF,NA,No,Yes,No,Yes,0,0,0,6,0,0,0,0,,,,Yes,No,No,No,No,No,Yes,No,No,No,No,Single,No,6,0,0,6,,,100%,0,0,,,0,0,2,6,33%,33%
283087,045-001021,2017,ES,1736 Family Crisis Center,South Bay 1 Domestic Violence Shelter,,,SPA 8,SD 4,CD15,SSD 35,AD 64,USCD 44,,C,Facility-based beds,Not Applicable,SFHC,DV,No,No,No,No,8,3,4,0,0,0,0,0,,,,No,,,,,,,,,,,Scattered,No,12,0,0,,,,,0,0,,,0,0,9,12,75%,43%
282932,214-001850,2017,ES,Beacon Light Mission and Doors of Hope,Beacon Light Mission ES,62118,294701,SPA 8,SD 4,CD15,SSD 35,AD 64,USCD 44,Wilmington,C,Facility-based beds,Not Applicable,SM,NA,No,No,Yes,No,0,0,20,0,0,2,0,0,,,,No,,,,,,,,,,,Single,No,20,0,0,0,,,,0,0,,,0,0,20,20,100%,100%
296631,214-001852,2017,ES,Beacon Light Mission and Doors of Hope,Doors of Hope ES,62118,294701,SPA 8,SD 4,CD15,SSD 35,AD 64,USCD 44,Wilmington,C,Facility-based beds,Not Applicable,SF,NA,No,No,Yes,No,0,0,20,0,0,1,0,0,,,,No,,,,,,,,,,,Single,No,20,0,0,0,,,,,,,,0,0,20,20,100%,100%
283347,516-020050,2017,ES,Bethel LA Community Development Center,Winter Shelter Program - (Bethel),62118,232700,SPA 6,SD 2,CD9,SSD 30,AD 59,USCD 37,Vermont Square,C,Facility-based beds,Not Applicable,SMF,NA,Yes,No,No,No,0,0,0,0,0,0,0,0,,,,No,,,,,,,,,,,Scattered,Yes,0,0,0,0,,,,200,200,12/1/2016,3/31/2017,0,0,174,200,87%,87%
282984,125-009550,2017,ES,Bridge to Home,Winter Shelter Program - Santa Clarita,63356,920314,SPA 2,SD 5,NA ,SSD 21,AD 38,USCD 25,Santa Clarita,C,Facility-based beds,Not Applicable,SMF,NA,Yes,No,No,No,0,0,0,0,0,0,0,0,,,,No,,,,,,,,,,,Single,Yes,0,0,0,0,,,,60,60,11/21/2016,3/15/2017,0,0,60,60,100%,100%
296635,164-002365,2017,ES,"California Hispanic Commission on Alcohol & Drug Abuse, Inc. (CHCADA)",FSC Emergency Crisis Beds,62850,401704,SPA 3,SD 1,NA ,SSD 20,AD 52,USCD 35,Pomona,N,Facility-based beds,Not Applicable,HC,NA,No,No,No,No,15,4,0,0,0,0,0,0,,,,No,,,,,,,,,,,Single,No,15,0,0,0,,,,,,,,0,0,15,15,100%,100%
282884,164-002360,2017,ES,"California Hispanic Commission on Alcohol & Drug Abuse, Inc. (CHCADA)",Year Round Overnight Emergency Shelter (CHCADA),69037,433802,SPA 3,SD 1,NA ,SSD 22,AD 57,USCD 38,Whittier Narrows,C,Facility-based beds,Not Applicable,HC,NA,Yes,No,No,No,24,6,0,0,0,0,0,0,,,,No,,,,,,,,,,,Single,Yes,24,0,0,0,,,,0,0,,,2,0,26,26,100%,63%
307265,013-002601,2017,ES,"Catholic Charities of Los Angeles, Inc.",Angel's Flight Youth Shelter a Part of Catholic Charities Los Angeles,62118,208903,SPA 4,SD 1,CD1,SSD 24,AD 53,USCD 34,Westlake,C,Facility-based beds,Not Applicable,YMF,NA,No,No,No,Yes,0,0,0,16,0,0,0,0,,,,No,,,,,,,,,,,Single,No,16,0,0,0,,,,,,,,0,0,8,16,50%,50%
